x_kt,y_ft,z_nm
740,28000,17.13
740,27000,16.67
750,37000,24.05
730,10000,9.30
760,27000,17.13
730,43000,28.66
740,24000,15.29
730,38000,24.51
740,44000,29.58
760,10000,9.30
740,6000,7.91
750,36000,23.13
740,26000,16.67
740,43000,28.66
750,34000,21.74
740,40000,26.35
760,43000,29.12
760,8000,8.38
680,21000,12.98
740,32000,20.36
740,22000,13.91
760,9000,8.84
740,42000,28.20
750,15000,11.60
760,7000,7.91
750,14000,11.14
730,26000,16.21
740,14000,10.68
760,26000,16.67
760,5000,7.45
760,24000,15.29
740,9000,8.84
770,14000,11.14
750,11000,9.76
740,38000,24.51
750,31000,19.44
730,42000,27.73
760,40000,26.81
740,25000,15.75
760,42000,28.20
750,13000,10.22
760,23000,14.83
750,30000,18.52
750,3000,6.99
760,25000,16.21
770,30000,18.98
740,30000,18.52
680,37000,24.05
760,21000,13.45
740,41000,27.27
760,39000,25.89
760,41000,27.73
740,13000,10.22
750,27000,17.13
750,29000,18.05
760,2000,6.99
770,11000,9.76
760,37000,24.05
770,13000,10.68
750,45000,30.50
750,19000,12.52
750,9000,8.84
750,43000,29.12
760,1000,6.99
690,8000,8.38
780,1000,6.99
750,1000,6.99
770,12000,10.22
750,12000,9.76
750,25000,15.75
760,18000,12.06
770,8000,8.38
770,27000,17.59
770,10000,9.30
760,17000,12.06
780,17000,12.06
760,16000,11.60
750,35000,22.66
740,29000,18.05
770,29000,18.05
690,24000,14.83
750,17000,12.06
760,14000,11.14
740,45000,30.50
750,28000,17.59
770,24000,15.29
770,28000,17.59
770,43000,29.12
750,41000,27.27
760,33000,21.28
760,34000,21.74
780,33000,21.28
750,44000,29.58
770,44000,30.04
770,40000,26.81
760,32000,20.36
770,26000,17.13
770,45000,30.96
690,40000,25.89
760,6000,7.91
750,16000,11.60
760,30000,18.52
750,33000,20.82
770,42000,28.66
780,14000,11.14
770,4000,7.45
790,4000,7.45
770,5000,7.45
780,16000,12.06
760,12000,9.76
760,15000,11.60
780,15000,11.60
760,22000,14.37
780,11000,9.76
770,3000,6.99
760,4000,7.45
790,20000,13.45
770,21000,13.91
750,32000,20.36
770,20000,13.45
780,30000,18.98
770,1000,6.99
760,31000,19.44
780,32000,20.36
780,31000,19.44
760,38000,24.97
780,13000,10.68
770,36000,23.13
760,28000,17.59
700,11000,9.30
770,37000,24.05
780,27000,17.59
760,44000,30.04
770,17000,12.06
760,20000,12.98
790,36000,23.59
770,19000,12.98
790,1000,6.53
760,3000,6.99
780,43000,29.58
780,29000,18.52
780,7000,7.91
760,36000,23.13
780,8000,8.38
770,2000,6.99
770,33000,21.28
790,3000,6.99
790,2000,6.99
770,35000,22.66
770,15000,11.60
790,17000,12.06
780,24000,15.75
770,9000,8.84
800,7000,7.91
780,23000,14.83
790,14000,11.14
780,45000,30.96
760,19000,12.52
780,40000,26.81
700,27000,16.67
770,7000,7.91
770,31000,19.44
780,4000,7.45
790,19000,12.98
780,39000,25.89
800,23000,15.29
770,18000,12.52
790,33000,21.74
780,6000,7.91
790,16000,12.06
790,18000,12.52
760,35000,22.20
790,30000,18.98
800,39000,26.35
790,35000,22.66
770,23000,14.83
700,43000,28.20
770,25000,16.21
790,11000,9.76
780,20000,13.45
770,34000,21.74
790,32000,20.36
790,34000,22.20
780,2000,6.99
800,4000,7.45
780,22000,14.37
790,10000,9.30
770,39000,25.89
770,41000,27.73
770,6000,7.91
800,6000,7.91
800,1000,6.53
790,27000,17.59
780,36000,23.59
780,38000,24.97
780,5000,7.45
800,5000,7.45
800,20000,13.45
790,43000,29.58
800,3000,6.99
800,17000,12.06
780,12000,10.22
770,22000,14.37
780,18000,12.52
800,22000,14.37
710,14000,10.68
790,26000,17.13
780,21000,13.91
780,10000,9.30
800,21000,13.91
800,14000,11.14
790,7000,7.91
790,42000,28.66
800,33000,21.74
770,38000,24.97
780,34000,22.20
800,19000,12.98
800,36000,23.59
780,37000,24.05
800,30000,19.44
800,38000,25.43
800,37000,24.51
780,28000,18.05
790,9000,8.84
800,35000,23.13
790,23000,14.83
790,8000,8.38
780,26000,17.13
780,44000,30.04
790,5000,7.45
800,13000,10.68
790,39000,26.35
710,30000,18.98
790,24000,15.75
780,42000,28.66
780,9000,8.84
790,25000,16.21
790,21000,13.91
800,29000,18.98
790,40000,27.27
790,15000,11.60
790,41000,27.73
790,37000,24.51
790,13000,10.68
780,25000,16.21
800,10000,9.30
800,45000,30.96
790,31000,19.90
720,1000,6.99
800,11000,9.76
800,12000,10.22
800,8000,8.38
780,41000,27.73
790,29000,18.52
800,24000,15.75
800,26000,17.13
720,17000,12.06
790,12000,10.22
800,28000,18.05
800,2000,6.99
800,27000,18.05
790,45000,30.96
800,44000,30.50
800,42000,29.12
800,40000,27.27
800,43000,29.58
790,28000,18.05
800,16000,12.06
790,44000,30.50
720,33000,21.28
800,18000,12.52
800,32000,20.82
800,15000,11.60
800,34000,22.66
730,4000,7.45
800,31000,19.90
730,20000,12.98
730,36000,23.13
740,7000,7.91
740,23000,14.37
740,39000,25.43
750,10000,9.30
750,26000,16.67
750,42000,28.20
760,13000,10.68
760,29000,18.05
760,45000,30.50
770,16000,11.60
770,32000,20.36
780,3000,6.99
780,19000,12.98
780,35000,22.66
790,6000,7.91
790,22000,14.37
790,38000,25.43
800,9000,8.84
800,25000,16.67
800,41000,28.20
